"name","lat","lng","population","toBernPerHMon","toBernPerHTue","toBernPerHWed","toBernPerHThu","toBernPerHFri","toBernPerHSat","toBernPerHSun","toBernAnyDay","toZhPerHMon","toZhPerHTue","toZhPerHWed","toZhPerHThu","toZhPerHFri","toZhPerHSat","toZhPerHSun","toZhAnyDay","avDurToZh","avDurToBern"
"Oberglatt",47.476804,8.520355,6818,0,0,0,0,0,0,0,0,6.44444444444444,6.44444444444444,6.44444444444444,6.44444444444444,6.44444444444444,6.44444444444444,6.44444444444444,6.44444444444444,20.5039390756303,NA
"Otelfingen",47.460873,8.389217,2784,0,0,0,0,0,0,0,0,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,26.9827586206897,NA
"Regensdorf",47.43167,8.468694,18036,0,0,0,0,0,0,0,0,4.91228070175439,4.91228070175439,4.91228070175439,4.91228070175439,4.91228070175439,4.91228070175439,4.91228070175439,4.91228070175439,16.4721461187215,NA
"Rümlang",47.450716,8.529912,7774,0,0,0,0,0,0,0,0,11.5707602339181,11.5707602339181,11.5707602339181,11.5707602339181,11.5707602339181,11.5707602339181,11.5707602339181,11.5707602339181,14.5460360763268,NA
"Schöfflisdorf",47.499856,8.416203,1396,0,0,0,0,0,0,0,0,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,30.8255813953488,NA
"Bubikon",47.268292,8.819161,7019,0,0,0,0,0,0,0,0,9.26315789473684,9.26315789473684,9.26315789473684,9.26315789473684,9.26315789473684,9.26315789473684,9.26315789473684,9.26315789473684,34.5852407754847,NA
"Hinwil",47.301532,8.841942,10848,0,0,0,0,0,0,0,0,6.10526315789474,6.10526315789474,6.10526315789474,6.10526315789474,6.10526315789474,6.10526315789474,6.10526315789474,6.10526315789474,40.8629032258064,NA
"Rüti (ZH)",47.257967,8.860515,12047,0,0,0,0,0,0,0,0,6.21052631578947,6.21052631578947,6.21052631578947,6.21052631578947,6.21052631578947,6.21052631578947,6.21052631578947,6.21052631578947,34.2205128205128,NA
"Seegräben",47.342142,8.770958,1432,0,0,0,0,0,0,0,0,7.15413533834587,7.15413533834587,7.15413533834587,7.15413533834587,7.15413533834587,7.15413533834587,7.15413533834587,7.15413533834587,30.1610282874618,NA
"Wetzikon (ZH)",47.322496,8.806721,24407,0,0,0,0,0,0,0,0,16.9415204678363,16.9415204678363,16.9415204678363,16.9415204678363,16.9415204678363,16.9415204678363,16.9415204678363,16.9415204678363,33.2286190407498,NA
